Broadway & W 55 Street,1
Cleveland Pl & Spring St,1
Rivington St and Ridge St,1
W 41 Street and 8 Avenue,1
1 Av & 18 St,2
Broadway & W 53 Street,2
Hudson St and Reade St,2
Market St & Cherry St,2
St. James Pl & Oliver St,2
W 29 Street & 9 Avenue,2
8 Avenue and W 31 Street,3
Sullivan St & Washington Sq,3
W 18 St & 6 Av,3
Franklin & West Broadway,4
Harrison St and Hudson St,4
W 39 Street & 9 Avenue,4
W 42 Street and 8 Avenue,4
E 10 Street & 5 Avenue,5
Gouverneur St & Madison St,5
Mercer St & Bleecker St,5
W 25 St & 6 Av,5
W 37 St & 10 Av,5
E 33 St & 5 Av,6
W 27 St & 7 Av,6
W 49 Street & 8 Avenue,6
E 39 Street and 2 Avenue,7
Norfolk St & Broome St,7
West 33rd - 8th Ave and 9th Ave,7
E 31 Street and 3 Avenue,8
E 9 Street & Avenue C,8
52 St & 9 Av,9
E 5 Street & Avenue C,9
E 6 Street & Avenue B,9
FDR Drive and E 35 Street,9
W 35 Street and 8 Avenue,9
Greenwich St & N Moore St,10
Water Whitehall Plaza,10
Christopher & Greenwich St,11
W 20 Street and 8 Avenue,11
W 33 Street & 7 Avenue,11
W 24 Street & 7 Avenue,12
Broadway & Battery Pl,13
Broadway & W 39 St,13
E 25 St & 2 Av,13
Broadway & W 41 Street,14
Broadway & W 24 Street,15
MacDougal St & Washington Sq,15
Broadway & W 32 Street,16
Mercer St & Spring St,16
W 13 Street and 7 Avenue,16
W 47 Street and 10 Avenue,16
E 53 St and Madison Av,17
Lexington Av and E 24 St,17
Pershing Square N,18
E 19 Street and 3 Avenue,19
E 32 St & Park Av,20
St Marks & 1 Av,20
W 54 St & 9 Av,20
E 47 St and Park Av,21
W 20 Street & 7 Avenue,22
W 14 St & the High Line,23
W 51 Street and 6 Avenue,23
W 52 Street & 5 Avenue,23
E 14 Street & Avenue B,26
E 53 St and Lexington Av,26
W 49 Street & 5 Avenue,26
W 46 Street & 11 Avenue,29
W 37 St & 5 Av,30
E 45 St & 3 Av,34
E 43 St & Vanderbilt Av,39
W 26 Street and 8 Avenue,43
Broadway & W 36 St,44
Broadway & W 51 Street,45
W 45 Street and 6 Avenue,48
W 43 Street & 6 Avenue,50
8  Av & W 57 St,96
Grand Total,1157
(blank),
